Year,Month,Segment,Country,Units_Sold,Gross_Sales,Profit
2013,January,Home Office,USA,2168,422439.87,23102.07
2014,July,Consumer,UK,3416,124879.17,25920.62
2014,June,Home Office,India,1016,70877.28,6318.06
2013,October,Consumer,USA,2782,163289.32,12050.97
2014,January,Small Business,UK,4496,353100.73,87924.54
2013,August,Consumer,UK,4986,100577.77,16442.05
2014,June,Corporate,Canada,2283,49326.22,7972.3
2013,September,Small Business,Australia,1793,194466.13,16195.42
2014,December,Small Business,Australia,4014,580874.47,76986.29
2014,March,Corporate,Germany,3505,169994.05,21401.76
2013,September,Small Business,Canada,846,119835.97,27653.53
2013,July,Corporate,USA,2614,246561.18,47439.73
2013,September,Home Office,India,2607,503727.39,92011.6
2014,July,Consumer,Canada,351,28600.6,2827.13
2013,October,Home Office,USA,3393,647281.5,156989.1
2013,April,Small Business,Canada,2869,570671.3,48327.7
2014,April,Consumer,UK,479,67330.71,10950.37
2014,May,Consumer,Germany,1416,209683.53,46150.72
2014,July,Consumer,Canada,3759,651911.1,86302.34
2014,April,Corporate,USA,4228,579793.11,53069.39
2013,July,Corporate,Australia,1135,212519.19,16042.38
2014,January,Home Office,Germany,2478,128474.89,10344.1
2014,October,Corporate,Australia,3069,369264.18,25738.49
2013,July,Home Office,UK,637,109185.39,23533.5
2014,July,Consumer,Canada,2489,215506.73,38385.88
2014,November,Consumer,Australia,1400,156147.12,8151.73
2013,June,Small Business,USA,1425,157119.58,32603.13
2013,October,Small Business,Australia,4872,375588.21,38717.64
2013,April,Home Office,UK,2704,286795.37,56046.35
2014,January,Small Business,India,559,91892.48,16743.92
2014,January,Consumer,Canada,1885,345684.11,53684.45
2013,October,Small Business,UK,3049,581964.75,36990.92
2013,June,Small Business,USA,4805,598175.08,58059.02
2013,December,Small Business,Germany,114,5883.73,903.73
2013,January,Home Office,India,3352,490241.48,37532.72
2013,June,Consumer,UK,3908,87662.01,14377.18
2013,January,Home Office,Canada,1653,122903.12,23944.51
2014,June,Corporate,Australia,4677,474686.96,81034.35
2014,January,Corporate,India,4687,302844.56,34483.23
2014,May,Corporate,USA,1058,21971.79,1510.89
2014,August,Home Office,Germany,3563,256217.7,27698.73
2014,April,Consumer,USA,2499,44664.22,8975.99
2014,January,Small Business,Canada,1230,221917.88,34422.48
2014,May,Small Business,USA,2948,169740.25,40178.32
2014,December,Corporate,Canada,4979,721724.18,58326.17
2013,July,Consumer,Canada,2827,458044.74,86782.43
2014,May,Small Business,Germany,1548,212924.87,26496.96
2013,December,Consumer,India,3919,247925.47,31435.68
2014,May,Home Office,UK,1786,165494.43,16867.77
2014,August,Small Business,Australia,4970,960487.61,142676.56
2014,August,Corporate,UK,1174,30817.41,1608.63
2013,December,Consumer,USA,2677,247999.66,25516.45
2014,May,Corporate,India,4917,342171.93,51019.56
2014,June,Consumer,Germany,3306,255194.66,19172.2
2014,July,Small Business,Australia,598,30048.94,7123.39
2014,January,Consumer,Australia,3326,50742.13,4424.16
2014,February,Corporate,India,1763,309046.57,40118.68
2013,September,Home Office,Australia,3028,483590.9,48717.0
2013,March,Home Office,India,1263,109450.75,11452.07
2014,January,Home Office,UK,4870,513368.36,78923.72
2014,November,Home Office,Canada,3755,421602.79,26245.79
2013,August,Corporate,Canada,1045,151936.82,20361.49
2013,July,Small Business,Canada,1786,320443.99,26243.37
2014,July,Small Business,India,1691,289627.49,26630.7
2013,February,Small Business,India,1036,85753.64,13722.53
2013,January,Small Business,UK,956,63632.32,4901.14
2014,October,Home Office,India,4767,377864.19,23085.51
2014,July,Home Office,USA,3677,180474.74,19444.58
2014,October,Consumer,UK,4264,746906.87,154660.68
2013,May,Small Business,Australia,2471,187252.81,40699.82
2013,June,Small Business,UK,2330,122190.1,25881.49
2014,May,Small Business,Canada,2975,412834.16,86785.5
2014,December,Home Office,India,3914,755574.37,156245.28
2014,December,Consumer,Canada,4473,693192.61,137927.21
2014,August,Corporate,Canada,995,99291.51,6266.6
2014,May,Consumer,Australia,3409,292238.64,29179.11
2013,October,Consumer,Australia,4506,324030.36,51418.33
2013,September,Home Office,Germany,3627,648564.34,60559.83
2013,December,Consumer,USA,3996,573727.67,77690.06
2014,September,Small Business,Canada,4722,288330.06,65380.41
2014,April,Corporate,Germany,2715,278562.61,48006.63
2014,June,Consumer,UK,2330,95574.6,20347.75
2013,January,Corporate,Australia,430,37215.52,4541.11
2014,December,Corporate,Australia,2517,35328.33,8742.94
2013,August,Home Office,India,4539,524474.03,130992.83
2013,June,Small Business,Australia,999,105455.49,16698.33
2013,July,Corporate,USA,122,9378.07,2326.13
2013,April,Corporate,Canada,3617,469036.83,44689.8
2013,August,Corporate,UK,679,29937.73,6025.03
2013,November,Corporate,USA,3881,662125.91,130697.21
2013,December,Corporate,UK,3048,365461.01,52607.3
2014,October,Home Office,Canada,4774,257246.5,43536.91
2013,June,Consumer,Germany,3932,96003.01,16407.64
2014,April,Consumer,UK,3180,156124.01,29568.57
2014,January,Consumer,Australia,3201,377529.3,48826.89
2014,March,Small Business,USA,4978,886600.18,114845.08
2013,October,Corporate,Canada,1444,230382.55,26910.57
2014,May,Small Business,India,4765,154641.44,21821.11
2014,November,Consumer,India,4799,560147.03,136811.12
2014,March,Small Business,USA,3618,501480.5,88485.36
2013,March,Small Business,Germany,4378,262891.91,27155.63
2013,March,Home Office,Germany,1428,55901.01,4260.38
2013,November,Consumer,UK,4191,174760.27,18117.87
2014,June,Corporate,India,3499,382184.59,57601.85
2014,February,Consumer,USA,2191,406345.39,39174.44
2013,August,Corporate,Germany,412,58987.74,4632.86
2013,January,Consumer,UK,4904,532763.01,27104.25
2014,February,Home Office,Germany,2865,187681.9,42586.38
2013,March,Home Office,USA,890,154363.35,13368.22
2013,May,Consumer,Australia,191,9499.46,1804.02
2013,September,Consumer,India,977,99547.64,23879.83
2013,October,Consumer,Germany,165,14048.45,3075.72
2014,July,Consumer,Canada,1988,76286.87,17145.51
2014,July,Corporate,USA,4459,50848.91,2967.38
2013,June,Small Business,Canada,3181,602014.14,71700.36
2014,July,Corporate,Canada,3849,87824.11,7607.46
2014,January,Consumer,Australia,1208,93261.22,19868.26
2014,April,Corporate,Canada,4428,811125.49,148390.76
2013,January,Home Office,USA,4786,734555.26,91582.84
2014,December,Home Office,UK,3422,351507.32,59989.86
2013,February,Consumer,USA,4813,628249.44,92653.21
2013,July,Consumer,UK,4298,75028.8,5919.26
2013,May,Small Business,India,2964,200256.92,34201.12
2014,November,Home Office,Australia,4916,728927.64,152984.66
2013,February,Home Office,USA,4149,145945.59,12274.79
2013,March,Home Office,UK,1865,182823.85,21234.34
2014,September,Corporate,Australia,4543,516331.02,42293.35
2013,June,Small Business,India,4704,509378.09,75653.22
2014,August,Corporate,USA,2886,415986.91,97649.38
2013,July,Home Office,USA,2904,451125.17,36058.61
2014,December,Home Office,USA,2614,29322.22,2379.84
2014,July,Home Office,Australia,4079,321853.28,41758.82
2014,January,Home Office,Canada,4977,159747.12,32450.65
2013,December,Consumer,Germany,3194,47430.12,10910.77
2013,August,Small Business,Australia,4790,288664.19,37076.77
2013,January,Home Office,UK,368,19973.97,3734.11
2013,February,Small Business,Australia,3357,512682.78,126895.73
2013,June,Consumer,Australia,640,19817.2,4522.68
2013,October,Small Business,Australia,1998,384344.6,44835.98
2013,April,Consumer,India,4420,627201.99,101475.19
2014,February,Consumer,Germany,753,61639.35,13145.19
2014,November,Consumer,USA,874,163621.32,31805.69
2014,March,Small Business,Australia,3722,358644.46,44261.56
2013,April,Small Business,Australia,952,162951.86,36838.84
2013,April,Small Business,Canada,1928,21802.63,2131.78
2013,June,Corporate,Germany,2003,183657.4,45826.28
2013,April,Consumer,USA,4762,343462.16,18632.92
2013,October,Home Office,Canada,4388,822371.91,163201.41
2013,August,Home Office,India,1894,365561.23,81513.33
2013,March,Small Business,Canada,3678,536081.87,61631.29
2014,January,Home Office,Canada,4533,541307.1,65841.25
2014,April,Small Business,USA,185,34978.93,6903.07
2014,October,Home Office,UK,3910,543555.14,128686.24
2014,December,Home Office,UK,231,39213.41,3639.81
2013,February,Home Office,Germany,1140,71740.73,14381.45
2013,June,Home Office,UK,1200,57720.5,6701.97
2013,December,Corporate,India,1622,197239.35,37788.87
2014,October,Corporate,Germany,174,8439.89,818.34
2013,May,Home Office,India,1769,104150.37,12491.48
2014,September,Small Business,Germany,3141,220554.92,40490.49
2013,February,Consumer,India,130,13017.85,1967.98
2014,August,Home Office,Canada,699,95865.4,5362.21
2014,August,Small Business,Canada,2920,402667.92,70567.46
2014,November,Home Office,India,124,22606.47,4769.73
2013,May,Small Business,India,2334,464420.6,88155.54
2013,February,Consumer,India,1071,208026.23,44540.09
2013,June,Consumer,Germany,2579,234178.84,55564.8
2013,February,Small Business,Australia,565,107666.98,16826.06
2013,June,Corporate,Canada,2084,315382.64,61800.51
2013,November,Corporate,India,3124,339889.29,62912.32
2014,July,Home Office,UK,3341,473875.69,97055.28
2014,October,Corporate,Germany,2033,164013.11,38080.17
2013,January,Home Office,India,4690,860047.16,95822.84
2013,April,Home Office,Germany,2050,263080.92,36060.64
2013,August,Home Office,India,3019,111551.86,7030.57
2013,May,Corporate,Canada,4330,76242.12,10659.26
2013,November,Corporate,Australia,590,101470.77,11466.41
2013,December,Corporate,Australia,2987,430518.05,94012.93
2014,November,Home Office,USA,385,19232.69,1379.49
2013,September,Small Business,Australia,4247,81776.44,7425.62
2013,November,Corporate,India,4874,419170.12,46718.84
2014,April,Home Office,UK,476,24599.03,3670.15
2014,January,Consumer,Germany,1469,287428.72,48545.62
2013,December,Corporate,Canada,636,50424.08,4667.21
2014,January,Corporate,Germany,1615,127367.43,10103.05
2014,July,Corporate,UK,4744,691756.89,153242.84
2013,February,Consumer,Germany,1977,53857.31,10074.81
2014,December,Small Business,Germany,4022,448255.71,74889.36
2014,October,Consumer,Canada,404,63150.0,13106.83
2013,August,Consumer,USA,738,56352.92,6981.52
2013,June,Corporate,India,3737,356054.74,79555.71
2013,October,Small Business,Australia,4629,303747.24,39228.8
2013,November,Small Business,India,481,37584.31,3373.88
2014,January,Consumer,India,4212,178772.66,36124.08
2014,June,Small Business,Australia,968,37367.26,7879.51
2013,April,Home Office,Germany,2635,221011.69,44671.39
2013,July,Consumer,USA,3373,671821.68,110657.59
2014,October,Home Office,India,2309,446654.6,68182.78
2014,February,Home Office,Germany,603,91641.83,11043.1
2014,October,Small Business,USA,1973,40141.74,4806.51
2014,January,Consumer,USA,4441,164049.65,15973.06
2013,December,Home Office,Germany,1663,160364.95,17592.84
2014,August,Corporate,India,3360,543947.67,94297.96
2013,December,Home Office,Australia,2132,346497.32,54436.92
2013,September,Home Office,Canada,4725,609172.72,69224.6
2013,February,Home Office,UK,480,16669.79,2342.06
2013,July,Small Business,Canada,3444,158469.2,17037.17
2013,November,Consumer,Australia,4215,120357.82,13404.46
2013,July,Home Office,USA,515,69153.94,8372.25
2014,May,Small Business,USA,3547,196441.37,39671.93
2014,January,Small Business,Canada,4843,530140.28,27400.31
2013,April,Small Business,Australia,2587,77363.29,17465.16
2014,July,Consumer,India,2994,112913.44,18545.25
2014,August,Corporate,Germany,1760,249095.5,60996.1
2014,September,Consumer,India,3556,151093.69,12152.58
2013,June,Corporate,USA,4413,546344.2,125357.14
2013,September,Small Business,Canada,3585,108595.59,24930.55
2014,January,Consumer,India,2058,396376.84,55705.53
2014,October,Home Office,USA,2853,372408.35,83229.58
2014,August,Home Office,Australia,2650,316288.07,44567.68
2013,April,Corporate,UK,2318,365524.55,83991.26
2014,April,Home Office,Canada,1130,181144.07,39200.63
2013,July,Small Business,UK,3406,366762.26,65258.04
2013,September,Corporate,USA,4560,143023.7,26468.27
2014,April,Corporate,USA,3463,264965.03,56852.16
2013,October,Corporate,UK,2217,52402.91,3305.35
2014,March,Consumer,Canada,4116,589427.94,108222.58
2013,March,Consumer,Canada,1542,264367.27,42299.71
2014,September,Home Office,USA,4979,562320.93,83766.85
2013,November,Corporate,Germany,3928,667407.4,33382.3
2013,October,Home Office,Germany,669,11730.08,2317.09
2014,December,Corporate,USA,1919,168565.21,24528.31
2013,March,Small Business,USA,4176,512236.34,110554.39
2013,November,Home Office,Germany,3251,446383.14,45547.62
2014,February,Small Business,Canada,348,33710.1,4096.46
2014,October,Corporate,Australia,4805,948930.88,65901.31
2013,March,Home Office,India,1580,228378.79,40022.31
2014,February,Home Office,Canada,4763,765661.24,169536.19
2014,September,Corporate,India,4897,835266.38,136243.69
2013,May,Home Office,USA,4537,159552.84,16471.25
2014,May,Corporate,India,2318,78514.13,9684.97
2013,February,Small Business,UK,1040,65717.16,13178.75
2014,July,Consumer,Australia,409,75232.9,18217.43
2014,July,Small Business,Canada,4170,313027.21,71241.84
2014,May,Corporate,Canada,4196,243636.48,52435.58
2014,June,Corporate,Canada,1244,224296.13,47130.4
2013,July,Corporate,Germany,1586,128536.08,15659.99
2014,November,Home Office,Canada,1233,123068.31,6595.91
2014,November,Home Office,Germany,1759,88324.04,10602.05
2013,October,Corporate,Germany,2644,293042.73,71297.53
2014,October,Corporate,UK,3328,62531.42,15472.52
2013,January,Home Office,USA,4457,540001.02,114166.21
2014,May,Small Business,Germany,4089,290659.09,31899.05
2013,December,Small Business,Australia,1887,297488.7,52448.15
2013,July,Home Office,Australia,1636,248433.8,29644.64
2014,October,Consumer,Canada,1542,145992.06,23549.56
2013,May,Home Office,Germany,4798,648423.79,132634.24
2013,January,Home Office,Australia,1241,117815.76,24154.16
2013,July,Small Business,Australia,1618,51134.14,9208.9
2014,September,Consumer,USA,4888,485147.25,77355.95
2013,November,Corporate,India,1621,185309.16,34866.9
2014,February,Home Office,USA,4063,307779.59,19184.31
2013,December,Home Office,Canada,2715,418308.14,67906.26
2014,June,Home Office,UK,3609,610904.11,152084.8
2014,May,Home Office,UK,1849,41288.81,3614.93
2013,August,Corporate,Germany,2930,72823.76,15725.13
2013,November,Home Office,Canada,919,160480.14,39494.5
2013,September,Home Office,Germany,1297,38486.04,4401.65
2014,October,Small Business,Canada,3893,337310.01,26293.1
2014,August,Corporate,Germany,1214,110401.56,21944.24
2014,February,Corporate,Australia,4952,871608.11,108184.43
2014,August,Consumer,USA,698,93226.53,20069.94
2014,June,Consumer,India,2544,339427.24,19009.29
2014,January,Small Business,UK,4196,124576.12,25704.09
2014,June,Consumer,Germany,246,9131.36,1605.12
2014,March,Corporate,Canada,1035,28280.92,2903.67
2014,March,Consumer,Canada,4029,425093.45,66774.79
2013,October,Home Office,India,3481,628003.32,142669.93
2014,October,Home Office,Germany,4014,597156.37,88061.68
2014,June,Consumer,UK,2804,450977.75,89008.23
2013,July,Consumer,India,140,9337.12,1049.94
2014,December,Small Business,Germany,4536,627619.08,155844.05
2013,January,Home Office,USA,3042,521471.24,38114.87
2013,May,Consumer,India,2885,564132.03,62815.64
2013,December,Consumer,Canada,585,76511.25,10747.95
2013,June,Home Office,Australia,1434,209067.96,24101.78
2014,May,Corporate,Germany,2730,181978.15,36348.66
2013,June,Corporate,India,3221,352522.32,82068.25
2014,October,Consumer,USA,2654,98507.31,12293.16
2013,January,Small Business,Germany,4677,74174.78,6828.01
2013,September,Consumer,Germany,4076,527034.71,95357.98
2013,May,Home Office,USA,2399,434268.07,42984.53
2014,February,Small Business,India,4309,173765.04,31766.88
2014,October,Corporate,India,189,12938.33,2892.72
2013,September,Small Business,Australia,1107,220160.29,16426.66
2013,November,Home Office,India,335,61128.55,5310.09
2013,October,Home Office,India,4467,128339.57,17427.81
2014,August,Home Office,UK,597,15756.18,2832.42
2014,December,Home Office,India,2176,25264.1,4239.41
2013,April,Consumer,Australia,1789,270282.63,50156.75
2013,November,Consumer,Australia,4315,546322.41,53377.63
2014,July,Consumer,UK,3540,680180.78,131326.1
2013,July,Small Business,USA,2353,171882.83,25174.83
2014,October,Small Business,Australia,1767,324719.71,80286.74
2013,February,Home Office,UK,2406,235648.46,19474.44
2013,June,Corporate,USA,2105,180947.14,14327.77
2013,July,Small Business,USA,2175,132072.63,25709.36
2014,July,Small Business,UK,1188,108335.13,21244.74
2013,May,Small Business,India,2202,55218.8,10416.59
2014,June,Corporate,UK,160,12024.8,2030.69
2013,October,Home Office,Canada,2644,320636.57,35690.84
2014,May,Home Office,UK,462,13846.95,1254.04
2013,March,Corporate,Canada,3020,479909.18,38243.28
2014,January,Small Business,Australia,2855,412701.48,67249.28
2013,April,Home Office,India,926,134928.71,23676.15
2013,September,Home Office,USA,1630,211161.14,48739.2
2014,June,Corporate,Canada,2042,219803.88,17513.63
2014,February,Small Business,Canada,1061,148898.85,36076.12
2014,November,Small Business,Australia,2726,110121.96,10986.74
2014,July,Corporate,India,1274,91292.19,7901.37
2013,September,Corporate,Canada,4472,747820.11,171753.72
2013,April,Corporate,India,4098,664404.31,57757.62
2013,November,Home Office,Australia,4250,597285.94,86394.66
2014,September,Consumer,UK,3742,456402.15,68643.21
2013,March,Home Office,Canada,297,9645.9,1245.88
2013,July,Home Office,Germany,3008,56551.71,5088.18
2014,February,Small Business,Canada,3637,313357.17,39869.23
2014,March,Corporate,USA,4501,79368.76,18106.82
2014,September,Consumer,UK,329,37378.3,1883.49
2013,May,Consumer,Germany,1267,194103.45,9708.49
2013,July,Home Office,UK,3527,628573.63,64947.69
2013,November,Small Business,Germany,3281,35351.05,7848.98
2014,June,Corporate,India,3188,408686.48,29511.18
2014,April,Consumer,Germany,679,132720.84,20489.29
2013,January,Corporate,Canada,350,18487.9,4179.81
2014,November,Consumer,UK,1909,62315.03,3747.67
2014,September,Consumer,USA,4652,684416.21,79748.9
2013,June,Consumer,India,2658,239410.22,57370.35
2014,September,Consumer,UK,4530,332112.14,80809.43
2013,March,Consumer,Australia,773,21422.21,3630.29
2014,April,Small Business,Australia,4862,750029.68,48037.92
2013,March,Small Business,UK,890,82348.84,20175.12
2013,May,Home Office,Germany,3159,223732.09,51746.13
2014,June,Home Office,Australia,3257,189792.23,23026.82
2013,November,Consumer,USA,3808,371505.38,80589.84
2013,August,Small Business,USA,838,39286.31,5533.07
2014,December,Consumer,Canada,2965,197859.41,27456.36
2013,October,Small Business,Germany,491,85141.01,11821.25
2013,January,Consumer,UK,2046,54891.08,8521.0
2013,March,Corporate,Germany,4318,566900.0,131913.11
2013,February,Consumer,USA,3534,81435.63,12668.87
2013,April,Consumer,Canada,3993,652455.99,107242.74
2013,May,Consumer,Germany,4769,282038.71,27898.97
2013,February,Corporate,UK,2765,412459.47,48937.83
2014,March,Consumer,UK,4211,212858.17,19739.81
2014,August,Small Business,Australia,2435,344894.13,32265.66
2013,April,Home Office,India,2313,98812.3,7124.61
2014,August,Home Office,UK,2932,508556.86,76434.44
2013,December,Home Office,Canada,1858,121547.39,30365.13
2014,June,Consumer,India,244,3555.72,486.1
2013,April,Small Business,USA,4739,375538.86,68133.26
2014,October,Corporate,India,2387,27654.43,5426.64
2014,November,Home Office,India,4975,892476.88,79577.46
2013,May,Small Business,Germany,2468,216165.76,30757.39
2014,January,Corporate,UK,2035,365015.83,72279.9
2013,August,Consumer,Australia,311,3693.43,601.74
2013,April,Consumer,Germany,3741,277279.67,29722.99
2014,April,Home Office,USA,2161,360956.18,61697.74
2013,December,Small Business,Canada,1352,218973.83,15989.76
2013,May,Corporate,Australia,3197,603033.71,80467.74
2014,October,Home Office,India,2350,232238.66,39711.03
2014,March,Consumer,Germany,2872,495212.13,83801.77
2014,July,Consumer,UK,1377,269167.13,38853.3
2013,January,Home Office,Canada,3678,48457.93,6191.35
2013,August,Corporate,Germany,880,170023.07,15698.22
2013,June,Home Office,Canada,2146,139920.39,34236.18
2013,February,Consumer,UK,4207,556374.78,132100.71
2013,November,Home Office,UK,3912,213195.71,48298.15
2014,June,Consumer,India,4191,360420.21,56585.58
2013,December,Small Business,USA,4856,347511.8,66738.24
2014,July,Corporate,USA,4582,806819.47,64250.32
2014,December,Consumer,Germany,1570,145795.57,34043.19
2013,March,Consumer,USA,2079,153880.42,37017.96
2013,December,Small Business,USA,340,45959.36,9651.67
2013,March,Consumer,Germany,109,7087.44,1545.23
2013,January,Small Business,Canada,2411,57036.09,10710.52
2014,April,Home Office,UK,1665,52805.59,12305.1
2014,June,Corporate,Germany,1943,189662.65,29467.84
